timestamp,tollID,tagRef,tagHomeID,charge
2022-01-31 06:08,MO09,AMV3A3ZMF,AM,2.7
2022-01-31 06:08,MO10,MOV86WZS3,MO,2.7
2022-01-31 06:29,NAO32,NAO5ZJA8DZ,NAO,2.5
2022-01-31 06:35,NAO37,NAOHL1N13J,NAO,2.5
2022-01-31 07:38,NAO10,NAOLY8OZCY,NAO,2.5
2022-01-31 07:40,NAO05,NAO5ZJA8DZ,NAO,2.5
2022-01-31 08:15,NAO08,NAOURTP0LZ,NAO,2.5
2022-01-31 08:30,EG03,EGUT0CVS4,EG,1.2
2022-01-31 08:44,OO06,OO7PZE9VI,OO,3.5
2022-01-31 08:57,NAO18,NOXFGCAQV,NO,2.5
2022-01-31 09:15,NO03,NOE1V2ISQ,NO,3.25
2022-01-31 09:28,OO07,NAOLY8OZCY,NAO,1.9
2022-01-31 09:49,NO03,NOE1V2ISQ,NO,3.25
2022-01-31 10:17,MO08,MOJCKJLTE,MO,3.15
2022-01-31 10:35,KO08,KONCXLL4Z,KO,1.85
2022-01-31 10:44,NO02,NO7PTX63C,NO,3.85
2022-01-31 10:51,NO04,NOE1V2ISQ,NO,3.25
2022-01-31 11:01,KO04,KOWKTAKPU,KO,2.95
2022-01-31 11:55,EG33,AMHJ7XVG0,AM,2.0
2022-01-31 12:11,OO03,OO7PZE9VI,OO,2.4
2022-01-31 12:15,AM05,AMLJH75LX,AM,3.6
2022-01-31 12:35,NAO38,NOE1V2ISQ,NO,2.5
2022-01-31 12:41,OO10,NAO09SKDGI,NAO,2.5
2022-01-31 12:56,AM10,AMXAJI0Y6,AM,3.1
2022-01-31 13:38,NAO03,NAOLY8OZCY,NAO,2.5
2022-01-31 13:44,NO06,NOE1V2ISQ,NO,3.25
2022-01-31 14:27,OO08,EGIGQPKI7,EG,1.9
2022-01-31 14:53,EG08,EG7UR23GD,EG,1.8
2022-01-31 15:14,KO05,KOWM31YIH,KO,1.9
2022-01-31 15:24,EG14,OO3KKV9RF,OO,1.2
2022-01-31 15:40,NAO23,NAO09SKDGI,NAO,2.5
2022-01-31 17:26,NAO30,NAOP0J43D5,NAO,2.5
2022-01-31 17:32,NAO07,NAOURTP0LZ,NAO,2.5
